scenario,type,input_total_change_rate,q1_total_worker_days,q2_total_worker_days,q3_hired_workers,q1_change_rate,q2_change_rate,q3_change_rate,solved
random_01,uniform_hourly_noise,0.0023654623019813137,10818,11883,578,0.002502085070892335,0.0021082813290604907,-0.005163511187607606,True
random_02,uniform_hourly_noise,0.0021734047626558173,10816,11968,581,0.002316745436011569,0.00927643784786647,0.0,True
random_03,uniform_hourly_noise,-0.001654292717957473,10774,11864,572,-0.0015753868964878404,0.0005059875189745711,-0.015490533562822706,True
random_04,uniform_hourly_noise,-0.0012989398794954754,10780,11914,591,-0.0010193679918450993,0.0047225501770955525,0.01721170395869187,True
random_05,uniform_hourly_noise,-0.003159671256872776,10756,11793,580,-0.0032434436104160635,-0.005481531455557409,-0.0017211703958691649,True
random_06,uniform_hourly_noise,0.0016343447126652144,10807,11928,584,0.0014827170790474575,0.005903187721369552,0.005163511187607606,True
random_07,uniform_hourly_noise,0.0004513816081246347,10798,11952,571,0.0006486887220831239,0.007927137797267614,-0.01721170395869187,True
random_08,uniform_hourly_noise,0.0022193315655381074,10817,12005,584,0.002409415253451952,0.012396694214876103,0.005163511187607606,True
random_09,uniform_hourly_noise,-0.0015267182655069877,10775,11904,577,-0.0014827170790473465,0.0038792376454714894,-0.0068846815834767705,True
random_10,uniform_hourly_noise,-0.004917415258090085,10740,11868,583,-0.00472616068946341,0.0008433125316242851,0.0034423407917383297,True
random_11,uniform_hourly_noise,-0.0038624905130998366,10752,11879,575,-0.003614122880177928,0.0017709563164107767,-0.0103270223752151,True
random_12,uniform_hourly_noise,-0.0023367000617924294,10769,11865,587,-0.0020387359836900876,0.0005903187721369996,0.010327022375215211,True
random_13,uniform_hourly_noise,-0.0016969721711408425,10771,11913,578,-0.001853396348809211,0.004638218923933124,-0.005163511187607606,True
random_14,uniform_hourly_noise,-0.0010976041981737295,10780,11796,585,-0.0010193679918450993,-0.0052285376960701235,0.0068846815834766595,True
random_15,uniform_hourly_noise,-0.00038040382185222654,10791,11872,580,0.0,0.0011806375442739991,-0.0017211703958691649,True
random_16,uniform_hourly_noise,-0.0003924654064475508,10787,11961,577,-0.0003706792697618644,0.00868611907572947,-0.0068846815834767705,True
random_17,uniform_hourly_noise,0.002102890883483255,10817,11932,576,0.002409415253451952,0.006240512734019266,-0.008605851979345935,True
random_18,uniform_hourly_noise,-0.0007635910863034168,10786,11895,590,-0.0004633490872022472,0.003120256367009633,0.015490533562822817,True
random_19,uniform_hourly_noise,-0.00248654205503418,10768,11850,579,-0.0021314058011305814,-0.0006746500252994281,-0.0034423407917383297,True
random_20,uniform_hourly_noise,-0.0038898610319891835,10752,11822,586,-0.003614122880177928,-0.0030359251138472043,0.008605851979345935,True
stress_minus_10,systematic_stress,-0.10000352569395865,9714,10676,523,-0.09980539338337502,-0.09967954123798284,-0.09982788296041312,True
stress_plus_10,systematic_stress,0.10001141211465558,11874,13043,639,0.10036141228801787,0.09993253499747001,0.09982788296041312,True
